days,p,qgas_cum,ws,qgas,temp,pick,extra_step,gcon_period,dt,curr_temp
1892.0,11.85239656942447,489.636431238709,1,9.677014580487933,0.004803016815764421,1,0,0,1892.0,0.25879303976674584
1915.0,9.05551519699959,489.7041703407724,1,13.946600557765795,0.004836231686013147,0,0,0,1915.0,0.2557201933894239
1922.0,14.36268057381571,490.024942153601,1,4.055386691057477,0.004635888631018641,1,0,0,1922.0,0.25495574513713604
1946.0,10.03656575845696,490.0533298604384,1,14.041708316823325,0.004167741676582894,0,0,0,1946.0,0.2518259660125453
1953.0,13.60668986868903,490.3903308600422,1,3.8417895583496096,0.004379076645525865,1,0,0,1953.0,0.25109591953917926
1976.0,4.939663100332339,490.41722338695064,1,14.158743425202742,0.004362563402011412,0,0,0,1976.0,0.24818685394075193
1983.0,15.20498651168679,490.7428744857303,1,2.158872286089216,0.004243059601665386,1,0,0,1983.0,0.24747497452632652
2007.0,4.841215193611922,490.7579865917329,1,15.266682814483643,0.004102021737544056,0,0,0,2007.0,0.24452316222805603
2014.0,13.66149649259352,491.12438697928053,1,3.3885360480433873,0.004612897234129318,1,0,0,2014.0,0.24385520704034563
2038.0,10.54507739929076,491.14810673161685,1,12.277834966148376,0.004718326159001078,0,0,0,2038.0,0.24099514559940763
2045.0,2.102115259690163,491.44277477080436,1,14.404474836199078,0.0038645286406733498,1,0,0,2045.0,0.24031431529133512
2068.0,3.490559760332213,491.5436060946578,1,14.655843152179221,0.004806376173148223,0,0,0,2068.0,0.23769033176723114
2075.0,15.82663992185832,491.8806904871579,1,2.014573747532436,0.00534373894004445,1,0,0,2075.0,0.2370509351745225
2099.0,12.9946307529828,491.89479250339065,1,4.4383022743275955,0.004286147792417617,0,0,0,2099.0,0.23434720938702583
2106.0,5.290657521192426,492.00131175797446,1,13.134641511614118,0.0014740706885072873,1,0,0,2106.0,0.23361885648525693
2129.0,14.5835330171152,492.0932542485558,1,2.833266746319315,0.0024280602725323805,0,0,0,2129.0,0.23113821242298388
2136.0,13.5111311572129,492.15841938372114,1,2.844293492013114,0.0019236510982298873,1,0,0,2136.0,0.23041124502982122
2160.0,2.105008403564192,492.17832943816524,1,15.111951350407919,0.0010419283405230415,0,0,0,2160.0,0.22786033770284372
2167.0,7.135214279898031,492.541016270575,1,14.255352859322684,0.004706626523064734,1,0,0,2167.0,0.22729165494718612
2191.0,6.777842390990079,492.6408037405903,1,14.461639967274984,0.005696254227562331,0,0,0,2191.0,0.224847468617329
2198.0,2.447357606016113,492.9878830998049,1,14.373921926993233,0.005527648784624824,1,0,0,2198.0,0.22428930077333142
2219.0,4.693946067340647,493.08850055329384,1,14.341319114746094,0.005544816677563179,0,0,0,2219.0,0.22221203269638198
2226.0,3.67433542938139,493.3896682547035,1,14.197427808646067,0.004994822201514748,1,0,0,2226.0,0.22164854818269603
2250.0,8.310462618913316,493.489050249364,1,13.87900460782369,0.004985623113909172,0,0,0,2250.0,0.21932846677748538
2257.0,13.10964059723324,493.8221463599518,1,3.1721920266723633,0.005405445660296855,1,0,0,2257.0,0.21879581141334953
2280.0,10.58734529833372,493.8443517041385,1,9.857430591016685,0.0044420650747272325,0,0,0,2280.0,0.21659839987022667
2287.0,5.593367716233634,494.0710726077319,1,12.456456420558384,0.003120982890803466,1,0,0,2287.0,0.21603457481753838
2311.0,9.583335341671452,494.15826780267577,1,12.841437433405558,0.003940118908922373,0,0,0,2311.0,0.2138287614896817
2318.0,15.69375092100538,494.4664623010775,1,9.390574369899204,0.004982006911607254,1,0,0,2318.0,0.21331598891331155
2341.0,6.561311196544592,494.5321963216668,1,12.941266237824813,0.004715496541465895,0,0,0,2341.0,0.21124826839882344
2348.0,13.6899787639245,494.82984544513675,1,2.5272762131347655,0.004599777634699218,1,0,0,2348.0,0.21074524933778352
